City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,hawaiian paradise park,19.5933,-154.9731,27.8,80,100,3.6,US,1690325176
309,howard springs,-12.497,131.047,16.95,47,8,3.83,AU,1690325176
310,yichun,47.7,128.9,22.19,73,18,0.75,CN,1690325177
311,lapeer,43.0514,-83.3188,29.97,55,100,2.57,US,1690325090
312,kushiro,42.975,144.3747,27.53,78,0,1.54,JP,1690325177
313,santa maria,-29.6842,-53.8069,15.61,100,100,3.09,BR,1690325177
314,george town,5.4112,100.3354,26.96,89,20,1.03,MY,1690325026
315,san pedro del parana,-26.8333,-56.2,18.6,78,100,1.77,PY,1690325178
316,russkaya polyana,49.417,31.9201,22.9,66,72,8.75,UA,1690325178
317,mount gambier,-37.8333,140.7667,6.95,89,100,2.24,AU,1690325178
318,hamina,60.5697,27.1979,16.6,96,100,3.98,FI,1690325178
319,puerto colombia,10.9878,-74.9547,30.05,86,86,10.24,CO,1690325179
320,solnechnyy,50.7214,136.6319,20.42,96,99,0.93,RU,1690325179
321,touros,-5.1989,-35.4608,24.04,76,35,6.79,BR,1690325180
322,tanumah,27.1,44.1333,33.27,10,100,3.58,SA,1690325180
323,chengde,40.9725,117.9361,23.37,78,12,0.31,CN,1690325180
324,atherton,53.5237,-2.4935,14.38,84,16,2.35,GB,1690325180
325,malango,-2.9627,119.9001,17.51,93,23,1.23,ID,1690325180
326,datong,40.0936,113.2914,23.01,57,27,1.95,CN,1690325181
327,bandarbeyla,9.4942,50.8122,23.73,83,12,14.82,SO,1690325181
328,berekum,7.4534,-2.584,21.72,98,72,1.63,GH,1690325181
329,ballina,-28.8667,153.5667,13.21,77,91,3.12,AU,1690325181
330,luang namtha,20.9497,101.4011,22.18,95,54,0.43,LA,1690325182
331,thunder bay,48.4001,-89.3168,23.99,57,100,5.14,CA,1690324584
332,kangding,30.0513,101.9603,14.89,96,100,1.21,CN,1690325182
333,mata-utu,-13.2816,-176.1745,26.67,76,100,6.72,WF,1690325182
334,keflavik,64.0049,-22.5624,13.95,76,100,3.6,IS,1690325183
335,puerto aysen,-45.4,-72.7,4.89,100,99,1.44,CL,1690325183
336,julio de castilhos,-29.2269,-53.6817,16.28,94,100,2.35,BR,1690325183
